month,channel,sessions,signups,activated,trial_to_paid_pct,churn_pct,notes
2025-07,Organic Search,18420,412,198,7.8,,
2025-07,Paid Search,9240,289,121,5.1,,
2025-07,LinkedIn,4110,168,109,14.2,,strong week1 usage
2025-07,Direct,6320,142,71,6.9,,
2025-07,Referral,2180,63,38,9.4,,
2025-07,Email,3410,88,44,8.1,,
2025-08,Organic Search,19010,398,191,7.4,3.1,
2025-08,Paid Search,9880,301,118,4.7,4.2,
2025-08,linkedin,3920,151,97,13.8,2.0,
2025-08,Direct,6110,138,66,6.5,3.5,
2025-08,Referral,2240,71,41,10.1,,
2025-08,Email,3300,81,39,7.6,,
2025-09,Organic Search,17880,376,182,7.1,3.4,
2025-09,Paid Search,10240,318,124,4.9,4.5,
2025-09,LI-organic,4380,177,118,15.1,1.8,best-converting cohort
2025-09,Direct,5980,131,62,6.2,3.8,
2025-09,Referral,2090,58,34,8.9,,
2025-09,Email,,79,37,7.2,,sessions not tracked this month
2025-10,Organic Search,18650,401,193,7.6,3.2,
2025-10,Paid Search,10510,327,129,5.0,4.4,
2025-10,linkedin,4020,159,101,13.5,2.2,
2025-10,Direct,6240,144,69,6.7,3.6,
2025-10,Referral,2310,74,43,10.4,,
2025-10,Email,3520,92,45,8.4,,
2025-11,Organic Search,19240,419,205,7.9,3.0,
2025-11,Paid Search,11020,344,131,4.6,4.7,paid CAC rising
2025-11,LinkedIn,4290,171,112,14.6,1.9,
2025-11,Direct,6410,149,73,6.8,3.4,
2025-11,Referral,2280,69,40,9.7,,
2025-11,Email,3610,95,47,8.2,,
2025-12,Organic Search,14820,301,142,7.3,3.6,holiday dip
2025-12,Paid Search,8940,268,102,4.8,4.9,
2025-12,LI-organic,3210,134,88,14.9,2.1,
2025-12,Direct,5120,112,54,6.4,4.1,
2025-12,Email,2980,74,36,7.9,,
2026-01,Organic Search,20110,438,214,8.0,2.9,
2026-01,Paid Search,11480,356,138,4.9,4.6,
2026-01,LinkedIn,4510,183,121,15.3,1.7,
2026-01,Direct,6680,156,77,6.9,3.3,
2026-01,Referral,2420,78,46,10.8,,
2026-01,Email,3740,99,49,8.5,,
2026-02,Organic Search,19980,431,209,7.8,3.1,
2026-02,Paid Search,11310,349,134,4.7,4.8,
2026-02,linkedin,4380,176,116,14.1,2.0,
2026-02,Direct,6540,152,74,6.6,3.5,
2026-02,Referral,2390,,,,,row logged empty by ETL
2026-02,Email,3690,97,48,8.3,,
2026-03,Organic Search,41220,894,203,3.1,3.2,traffic spike - source unclear
2026-03,Paid Search,11590,361,140,4.8,4.7,
2026-03,LinkedIn,4460,181,119,14.8,1.8,
2026-03,Direct,6620,154,75,6.7,3.4,
2026-03,Referral,2440,79,47,10.6,,
2026-03,Email,3720,98,48,8.4,,
2026-04,Organic Search,20340,442,218,8.1,2.8,
2026-04,Paid Search,11640,358,136,4.6,4.9,
2026-04,LI-organic,4590,188,125,15.5,1.6,
2026-04,Direct,6710,158,78,7.0,3.2,
2026-04,Referral,2460,81,48,10.9,,
2026-04,Email,3780,101,50,8.6,,
2026-05,Organic Search,20560,449,221,8.2,2.7,
2026-05,Paid Search,11720,363,139,4.7,5.1,paid churn worst of any channel
2026-05,LinkedIn,4640,190,127,15.7,1.5,
2026-05,Direct,6790,161,79,7.1,3.1,
2026-05,Referral,2490,83,49,11.1,,
2026-05,Email,3820,103,51,8.7,,
